# File Format is TSV(Tab Separated Value)
# If you want to add more languages, add elements separated by tabs.
# ID	Name(en)	            Name(jp)	Name(cn)
499	    Watchman's Longbow	塔守の長弓	守塔长弓
500	    Nameless Guard's Bow	名もなき塔守の弓	无名守塔弓
502	    Templar's Bow	神殿騎士の弓	神殿骑士弓
503	    Phantom Knight's Bow	幻影騎士の弓	幻影骑士弓
504	    Zenoiran Bow	ゼノイラ兵の弓	泽诺伊拉士兵弓
505	    Zenoiran Knight's Bow	ゼノイラ騎士の弓	泽诺伊拉骑士弓
506	    Magebane Bow	魔克騎士の弓	克魔骑士之弓
508	    Nameless Greatbow	無名の大弓	无名大弓
509	    Obsidian Bow	黒曜の弓	黑曜弓
510	    Carnelian Bow	闘神の明石弓	斗神绯石弓
511	    Meteorite Bow	メテオライトボウ	陨石弓
512	    Infamous Bow	名射手の古弓	名射手古弓
513	    Veteran's Bow	老兵の弓	老兵古弓
515	    Viper Bow	毒蛇の弓	毒蛇弓
516	    Flame Bow	フレイムボウ	烈火弓
517	    Salamander Greatbow	火竜の大弓	火龙大弓
518	    Starless Bow	暗夜の弓	暗夜弓
519	    Thundering Bow	轟きの弓	轰鸣弓
520	    Thundering Strongbow	轟きの剛弓	轰鸣刚弓
521	    Piercing Bow	貫きの弓	贯穿弓
522	    Piercing Strongbow	貫きの剛弓	贯穿刚弓
523	    Spellseal Bow	魔封じの弓	封魔弓
524	    Pheasant Bow	フェザントボウ	雉鸡弓
525	    Interrogator's Bow	異端審問官の弓	异端审判官弓
526	    The Inquisitor	インクイジター	审讯官
527	    Bow Of Swiftness	ラピットボウ	极速弓
528	    Silvermoon Bow	銀月の弓	银月弓
529	    General's Longbow	名将の長弓	名将长弓
530	    Crane Bow	クレインボウ	鹤弓
531	    Trapper's Warbow	狩人の戦弓	猎人战弓
532	    Gallian Crossbow	ガリアクロスボウ	高卢弩弓
533	    Sanguine Bow	ブラッドボウ	鲜血弓
534	    Runic Bow	ルーンボウ	符文弓
536	    Greatwood Spiritbow	大樹の霊弓	大树灵弓
537	    Desert Bow	デザートボウ	沙漠弓
538	    Frostbloom Bow	雪花弓	雪花弓
539	    Woodpecker	ウッドペッカー	啄木鸟
540	    Replica Alminster	贋作アルミ二スタ	赝品阿尔米尼斯塔
542	    Kingsbow Bastorik	王弓場ストリーク	王弓巴斯特利克
543	    Apeliotes's Bow	風弓アペリオテス	风弓阿珀利俄忒斯
544	    Quince Bow	クインスの花弓	榅桲花弓
545	    Sacral Bow	セイクリッドボウ	圣崇弓
546	    Alminster	アルミニスタ	阿尔米尼斯塔
547	    Bronze Staff	青銅の杖	青铜杖
548	    Recruit's Staff	新兵の杖	新兵杖
549	    Baroque Rod	バロックロッド	巴洛克杖
551	    Iron Staff	鉄の杖	铁杖
552	    Black-Iron Staff	黒鉄の杖	黑铁杖
553	    Carnat Rod	カルナットロッド	卡尔纳特杖
554	    Greatwood Staff	大樹の杖	大树杖
555	    Steel Staff	鉄の杖	钢杖
556	    Spellsteel Staff	魔鉄の杖	魔铁杖
557	    Vorpal Rod	ヴォーパルロッド	斩首杖
561	    Dragonbone Staff	大竜骨の杖	大龙骨杖
562	    Thorn Staff	茨の棘杖	荆棘杖
563	    Icefall Staff	氷瀑杖	冰瀑杖
564	    Wingcrest Staff	翼紋章の杖	翼纹章杖
566	    Templar's Staff	神殿騎士の杖	神殿骑士杖
567	    Phantom Knight's Staff	幻影騎士の杖	幻影骑士杖
568	    Zenoiran Staff	ゼノイラ兵の杖	泽诺伊拉士兵杖
569	    Zenoiran Knight's Staff	ゼノイラ騎士の杖	泽诺伊拉骑士杖
570	    Raven Staff	黒鳥騎士の杖	黑鸟骑士杖
571	    Twilight Staff	退魔騎士の杖	逢魔骑士杖
573	    Warding Staff	魔障壁の杖	魔化壁杖
574	    Nameless Greatstaff	無名の大杖	无名大杖
575	    Obsidian Staff	黒曜の杖	黑曜杖
576	    Carnelian Staff	闘神の紅石杖	斗神绯石杖
577	    Meteorite Rod	メテオライトロッド	陨石杖
578	    Veteran's Staff	老兵の古杖	老兵古杖
582	    Thawing Scepter	メルトセプター	消融权杖
583	    Pestilent Staff	病毒の黒杖	病毒黑杖
584	    Bloodmoon Rod	血月のロッド	血月杖
585	    Wind Scepter	ウインドセプター	疾风权杖
586	    Telluric Staff	大地の石杖	大地石杖
587	    Grand Magus Staff	大魔術師の杖	大魔法师之杖
588	    Icestorm Staff	氷嵐の杖	冰岚杖
589	    Quartz Rod	クォーツロッド	石英杖
591	    Defender's Mace	守護のメイス	守护锤杖
592	    Cleric's Cane	聖職者の守杖	圣职者守杖
593	    Lyrical Wand	リリックワンド	抒情魔杖
594	    Hallowed Mace	祝福のメイス	祝福锤杖
595	    Staff Of Succor	双癒の杖	双愈杖
596	    Ringed Staff	円燐の杖	圆磷杖
597	    Phosphorescent Staff	光輝の杖	光磷杖
598	    Precious Rod	プレシャスロッド	珍宝杖
599	    Lifeblood Staff	生命の杖	生命之杖
600	    Purifier	ピュリファイアー	净化者
602	    Liberator's Staff	解放者の秘杖	解放者秘杖
603	    Speed-Hex Staff	呪速の枝杖	咒速枝杖
604	    Poison-Hex Staff	呪毒の枝杖	咒毒枝杖
605	    Flame-Hex Staff	呪炎の枝杖	咒火枝杖
606	    Dustbound Staff	砂麈の杖	沙岩杖
607	    Shaman's Bonestaff	呪術師の骨杖	咒术师骨杖
608	    Gleaming Mace	閃光のメイス	闪光锤杖
610	    Chiropteran Staff	蝙蝠の杖	蝙蝠杖
611	    Mother Laelia's Staff	レリア司祭の儀仗	莉莉亚祭司的仪杖
612	    Red-Bark Staff	イチイの賢杖	紫杉贤杖
613	    Chlorotic	クロロティック	萎黄焦枯
614	    Undead Staff	死者の杖	亡者之杖
615	    Ein Seeker	アインシーカー	寻目者
616	    Heavenswing Staff	天翼の儀仗	天翼仪杖
617	    Sanguis Mea	サングイスメア	血魔
618	    Cursed Staff Of The Abyss	深淵の呪杖	深渊咒杖（20攻击）
619	    Cursed Staff Of The Abyss	深淵の呪杖	深渊咒杖（25攻击）
620	    Millenium Scepter	サウザンドセプター	千年权杖
621	    Libera	リベールライト	自由之光
622	    Cardinal's Mace	カーディナルメイス	枢机锤矛
624	    Kingstaff Albiore	王杖アルビオール	王杖阿尔比奥
625	    Euros's Staff	風杖エウロス	风杖欧洛斯
626	    Lupinus Staff	ルピナスの花杖	鲁冰花杖
627	    Sacral Rod	セイクリッドロッド	圣崇杖
628	    Papal Crosier	教皇の権杖	教皇权杖
642	    Bronze Shield	青銅の盾	青铜盾
643	    Recruit's Shield	新兵の盾	新兵盾
644	    Baroque Shield	バロックシールド	巴洛克盾
645	    Battler's Shield	バトルシールド	战盾
646	    Iron Shield	鉄の盾	铁盾
647	    Black-Iron Shield	黒鉄の盾	黑铁盾
648	    Carnat Shield	カルナットシールド	卡尔纳特盾
649	    Greatwood Shield	大樹の盾	大树盾
650	    Steel Shield	鉄の盾	钢盾
651	    Spellsteel Shield	魔鉄の盾	魔铁盾
652	    Vorpal Shield	ヴォーパルシールド	斩首盾
656	    Dragonbone Shield	大竜骨の盾	大龙骨盾
657	    Thorn Shield	茨の棘盾	荆棘盾
658	    Icefall Shield	氷瀑盾	冰瀑盾
659	    Wingcrest Shield	翼紋章の盾	翼纹章盾
660	    Watchman's Buckler	塔守の小谷	守塔小盾
661	    Nameless Guard's Shield	名もなき塔守の盾	无名守塔盾
663	    Templar's Shield	神殿騎士の盾	神殿骑士盾
664	    Phantom Knight's Shield	幻影騎士の盾	幻影骑士盾
665	    Zenoiran Shield	ゼノイラ兵の盾	泽诺伊拉士兵盾
666	    Zenoiran Knight's Shield	ゼノイラ騎士の盾	泽诺伊拉骑士盾
667	    Golden Ram Shield	金羊騎士の盾	金山羊骑士盾
668	    Heavenswing Shield	天翼騎士の盾	天翼骑士盾
670	    Obsidian Shield	黒曜の盾	黑曜盾
671	    Azure Crest Shield	蒼紋の盾	苍纹盾
672	    Scarlet Crest Shield	緋紋の盾	绯纹盾
673	    Hunter's Buckler	猟兵のバックラー	猎兵小圆盾
674	    Blessed Roundshield	祝福の円盾	祝福圆盾
676	    Viper Shield	毒蛇の盾	毒蛇盾
677	    Searing Shield	灼熱の盾	灼热盾
678	    Hoarfrost Shield	樹氷の盾	雾凇盾
679	    Luminous Shield	光輝の盾	光辉盾
680	    Twin Dragon Shield	双竜紋の盾	双龙纹盾
681	    Unfettered Shield	アンフェッター	断镣之盾
682	    Chivalric Shield	ナイツシールド	骑士盾
684	    Guard's Shield	衛兵の盾	卫兵盾
685	    Mercenary's Shield	傭兵のウッドシールド	佣兵木盾
686	    Holy Knight's Shield	聖騎士の盾	圣骑士盾
687	    Cavalry Hunter's Buckler	騎馬狩りの小盾	猎骑小盾
688	    Angel Hunter's Buckler	羽狩りの小盾	猎羽小盾
689	    Beast Hunter's Buckler	獣狩りの小盾	猎兽小盾
690	    Moonlight Shield	月光の盾	月光盾
691	    Unyielding Shield	不屈の盾	不屈盾
692	    Squire's Shield	従騎士の盾	见习骑士盾
693	    Arrowshield	アローシールド	箭盾
694	    Ironclad Buckler	鉄盾のバックラー	铁壁小圆盾
695	    Manalith Buckler	魔石のバックラー	魔石小圆盾
696	    Parrying Shield	パリングシールド	闪避盾
697	    White Knight's Shield	白騎士の盾	白骑士盾
699	    Blue Rose Shield	青薔薇の盾	蓝蔷薇之盾
700	    White Rider's Shield	白馬の騎士の盾	白马骑士盾
705	    Kaikias's Shield	風盾のカイキアス	风盾凯基亚斯
706	    Holy Unicorn Shield	一角獣の聖盾	独角兽圣盾
710	    Bronze Greatshield	青銅の大盾	青铜大盾
711	    Recruit's Greatshield	新兵の大盾	新兵大盾
712	    Baroque Greatshield	バロックラージシールド	巴洛克大盾
713	    Conveyable Greatshield	ライトラージシールド	光明大盾
714	    Iron Greatshield	鉄の大盾	铁大盾
715	    Black-Iron Greatshield	黒鉄の大盾	黑铁大盾
716	    Carnat Greatshield	カルナットラージシルド	卡尔纳特大盾
717	    Greatwood Greatshield	大樹の大盾	大树大盾
718	    Steel Greatshield	鉄の大盾	钢大盾
719	    Spellsteel Greatshield	魔鉄の大盾	魔铁大盾
720	    Vorpal Greatshield	ヴォーパルラージシールド	斩首大盾
724	    Dragonbone Greatshield	大竜骨の大盾	大龙骨大盾
725	    Thorn Greatshield	茨の大棘盾	荆棘之盾
726	    Icefall Greatshield	大氷爆盾	大冰爆盾
727	    Wingcrest Greatshield	翼紋章の大盾	翼纹章大盾
729	    Templar's Greatshield	神殿騎士の大盾	神殿骑士大盾
730	    Phantom Knight's Greatshield	幻影騎士の大盾	幻影骑士大盾
731	    Zenoiran Greatshield	ゼノイラ兵の大盾	泽诺伊拉士兵大盾
732	    Zenoiran Knight's Greatshield	ゼノイラ騎士の大盾	泽诺伊拉骑士大盾
733	    Feathered Crest Greatshield	鶏冠騎士の大盾	鸡冠骑士大盾
734	    Heavenswing Greatshield	天翼騎士の大盾	天翼骑士大盾
736	    Obsidian Greatshield	黒曜の大盾	黑曜大盾
737	    Azure Crest Greatshield	蒼紋の大盾	苍纹大盾
739	    Mirage Greatshield	蜃気楼の大盾	海市蜃楼大盾
742	    Viper Greatshield	毒蛇の大盾	毒蛇大盾
743	    Searing Greatshield	灼熱の大盾	灼热大盾
744	    Hoarfrost Greatshield	樹氷の大盾	雾凇大盾
745	    Luminous Greatshield	光輝の大盾	光辉大盾
747	    Citadel Guard's Greatshield	城塞兵の大盾	要塞兵大盾
748	    Moonlight Greatshield	月光の大盾	月光大盾
749	    Unyielding Greatshield	不屈の大盾	不屈大盾
750	    Horsekiller Greatshield	騎馬狩りの大盾	猎骑大盾
751	    Wingclipper Greatshield	羽狩りの大盾	猎羽大盾
752	    Beastslayer Greatshield	獣狩りの大盾	猎兽大盾
753	    Squire's Greatshield	従騎士の大盾	见习骑士大盾
754	    Panoplied Greatshield	重装歩兵の大盾	重装步兵大盾
755	    Ironclad Towershield	鉄壁のタワーシールド	铁壁塔盾
756	    Bulwark Towershield	巨壁のタワーシールド	巨壁塔盾
757	    White Knight's Greatshield	白騎士の大盾	白骑士大盾
758	    Blacksilver Pavise	黒銀のパビス	黑银方盾
761	    Heaven's Mirror Greatshield	天鏡の大盾	天镜大盾
762	    Drakestone Iceshield	竜岩の氷盾	龙岩冰盾
763	    Greatshield Of The Abyss	深淵の大盾	深渊大盾（13防御）
764	    Greatshield Of The Abyss	深淵の大盾	深渊大盾（16防御）
766	    Skiron's Greatshield	風大盾スキーローン	风大盾斯喀戎
767	    Hero's Greatshield	英雄の大盾	英雄大盾
768	    Champion's Towershield	王者のタワーシールド	王者塔盾
769	    Gran Baris	グラン・バリス	巨大重盾
784	    Carnelian Pendant	緋石のペンダント	绯石吊坠
785	    Ruby Pendant	緋晶石のペンダント	绯晶石吊坠
786	    Lapis Pendant	蒼石のペンダント	苍石吊坠
787	    Sapphire Pendant	蒼晶石のペンダント	苍晶石吊坠
788	    Amethyst Pendant	紫晶石のペンダント	紫晶石吊坠
789	    Onyx Pendant	黒晶石のペンダント	黑晶石吊坠
790	    Bronze Bangle	ブロンズバングル	青铜手环
791	    Silver Bangle	シルバーバングル	银手环
792	    Gold Bangle	ゴールドバングル	金手环
793	    Bronze Circlet	ブロンズサークレット	青铜头环
794	    Silver Circlet	シルバーサークレット	银头环
795	    Gold Circlet	ゴールドサークレット	金头环
796	    Brown Beret	ブラウンベレー	棕色贝雷帽
797	    Green Beret	グリーンベレー	绿色贝雷帽
798	    Elite Beret	エリートベレー	精英贝雷帽
799	    Leather Hood	レザーフード	皮革兜帽
800	    Silk Hood	シルクフード	丝绸兜帽
801	    Sage's Hood	セイジフード	贤者兜帽
802	    Vitality Talisman	命のタリスマン	生命护符
803	    Lifeblood Talisman	生命のタリスマン	生机护符
804	    Ervã©Lda's Talisman	神樹のタリスマン	神树护符
805	    Dove Plume	白鳥の羽飾り	白天鹅羽饰
806	    Raven Plume	黒鳥の羽飾り	黑天鹅羽饰
807	    Angel Plume	天使の羽飾り	天使羽饰
808	    Iron Shackles	鉄の足枷	铁镣
809	    Prisoner's Shackles	狂人の足枷	狂人镣铐
810	    Daemon's Shackles	悪魔の足枷	恶魔镣铐
811	    Blue Spectacles	ブルーグラス	蓝色眼镜
812	    Mirrored Spectacles	ミラードグラス	米勒德眼镜
813	    Silken Scarf	シルフスカーフ	丝绸围巾
814	    Royal Scarf	ロイヤルスカーフ	皇家围巾
815	    Mercenary's Eyepatch	傭兵の眼帯	佣兵眼罩
816	    Veteran's Eyepatch	猛者の眼帯	勇士眼罩
817	    Lucky Coin	幸運のコイン	幸运硬币
818	    Gauntlets	ガントレット	手铠
819	    Cloth Gauntlets	クロスガントレット	十字手铠
820	    Leaf Broach	リーフシンボル	树叶徽章
821	    Rose Broach	ローズシンボル	蔷薇徽章
822	    Holy Broach	ホーリーシンボル	神圣徽章
823	    Sacral Broach	セイクリッドシンボル	圣崇徽章
824	    White Ribbon	純白のリボン	纯白缎带
825	    Verdant Ribbon	翠緑のリボン	翠绿缎带
826	    Scarlett's Ribbon	スカーレットのリボン	斯嘉丽的缎带
827	    Bloodstained Ribbon	血塗られたリボン	染血的缎带
828	    Warrior's Medallion	戦士のメダリオン	战士勋章
829	    Sorcerer's Medallion	魔術師のメダリオン	魔法师勋章
830	    Knight's Medallion	重装兵のメダリオン	重装兵勋章
831	    Cleric's Medallion	神官のメダリオン	神官勋章
832	    Hero's Medallion	英雄のメダリオン	英雄勋章
833	    Charm Of Land & Sea	大地と海のチャーム	海陆之饰
834	    Charm Of Sun & Moon	太陽と月のチャーム	日月之饰
835	    Lionheart	ライオンハート	狮心
836	    Mistletoe Charm	宿り木のチャーム	寄生木饰物
837	    Lamplight Ring	灯火の指輪	灯火戒指
838	    Watchman's Lantern	塔守のランタン	守塔提灯
839	    Watchman's Horn	塔守の角笛	守塔号角
840	    Gravekeeper Lantern	墓守のランタン	守墓提灯
841	    Gravekeeper Boots	墓守のブーツ	守墓长靴
842	    Undead Ring	死者の指輪	死者戒指
843	    Necromancer's Lantern	死靈術師のランタン	死灵术士提灯
844	    Bloodmoon Earrings	血月のイヤリング	血月耳环
845	    Retaliation Earrings	反撃のイヤリング	反击耳环
846	    Earrings Of Pursuit	追撃のイヤリング	追击耳环
848	    Tailwind Cape	追い風のケープ	乘风披肩
849	    Lips's Ring	リプスの風環	利普斯风环
850	    Gust Bracelet	疾風のブレスレット	疾风手链
851	    Squall Bracelet	突風のブレスレット	狂风手链
852	    Crude Tasset	荒くれのタセット	狂野腰带
853	    Defender's Ring	堅盾の指輪	坚盾戒指
854	    Acrobat's Shoes	曲芸師の靴	杂耍师之靴
855	    Battleline Standard	戦列の軍旗	战阵军旗
856	    Wingline Standard	翼列の軍旗	翼阵军旗
857	    Elite Standard	精鋭の軍旗	精锐军旗
858	    Wolfpack Gauntlets	群狼の篭手	群狼护臂
859	    Badger Gauntlets	穴熊のガントレット	狗獾手铠
861	    First Aid Kit	エイドキット	急救箱
862	    Medical Kit	メディカルキット	医疗箱
863	    Large Aid Kit	ラージエイドキット	大急救箱
864	    Shawl Of Repose	休息のショール	休憩披巾
866	    Defensive Ring	守りの指輪	守护戒指
867	    Aurora Ring	極光の指輪	极光戒指
868	    Charm Of Warding	魔除けのチャーム	驱魔之饰
869	    Wind Faerie's Bell	風精の鈴	风精铃铛
870	    Thief's Bell	盗賊の鈴	盗贼铃铛
871	    Flamebrand Tome	炎剣の術書	炎剑术之书
872	    Frostbrand Tome	氷剣の術書	冰剑术之书
873	    Thunderbrand Tome	雷鳴の指輪	雷剑术之书
874	    Bloodbrand Tome	血剣の術書	血剑术之书
875	    Glory Sash	栄光のサッシュ	荣光腰饰
876	    Dancer's Bracelet	踊り子の腕輪	舞女手环
877	    Gambler's Coin	賭博師のコイン	赌徒硬币
878	    Dirty Gambler's Coin	色褪せた賭博師のコイン	褪色的赌徒硬币
879	    Familiar's Choker	使い魔のチョーカー	使魔项圈
880	    Truestrike Star	必中の星章	必中星章
881	    Sage Owl's Shawl	賢梟のショール	贤枭披巾
883	    Sniper's Lens	狙撃手のレンズ	狙击手透镜
884	    Sniper's Amber Lens	狙撃手のアンバーレンズ	狙击手琥珀透镜
885	    Wyvern Reins	飛竜の手綱	飞龙缰绳
886	    Heavenwyvern Reins	神竜の手綱	神龙缰绳
887	    Armored Gauntlets	重騎士の篭手	重战士臂甲
889	    Pursuant's Bracelet	追撃者の腕輪	追击者手环
890	    Liberator's Bracelet	解放者の腕輪	解放者手环
891	    Outlaw's Bracelet	無法者の腕輪	亡命者手环
892	    Wolf Fang Bracelet	狼牙の腕輪	狼牙手环
893	    Cleric's Bracelet	聖職者の腕輪	圣职者手环
894	    Counter Belt	カウンターベルト	反击腰带
895	    Riot Belt	ライオットベルト	暴乱腰带
896	    Wyvern Claw	飛竜の爪	飞龙之爪
897	    Mage's Gloves	メイジグローブ	学者手套
898	    Liberator's Belt	解放者の帯革	解放者皮带
899	    Monk's Mitre	修道士の聖帽	修道士神帽
900	    Archbishop's Mitre	大司教の聖帽	大主教圣帽
901	    Spirit's Necklace	精霊の首飾り	精魂项链
902	    Self-Aid Kit	セルフキット	自救箱
903	    Lapis Bell	蒼石の鈴	苍石铃铛
904	    Dancer's Anklet	踊り子の足環	舞女脚环
905	    Dawn Robes	陽光のローブ	阳光长袍
906	    Dusk Robes	月光のローブ	月光长袍
908	    Power Belt	マッスルベルト	肌肉腰带
909	    Defensive Gauntlets	守りの籠手	守护臂甲
910	    Thief's Mantle	盗賊のマント	盗贼披风
911	    Twilight Cloak	宵闇のマント	宵暗披风
912	    Illusory Cloak	幻影のマント	幻影披风
913	    Courser's Reins	駿馬の手綱	骏马缰绳
914	    Heavensteed Reins	神馬の手綱	神马缰绳
915	    Old Witch's Ring	老魔女の指輪	老魔女戒指
917	    Master's Gauntlets	達人の篭手	大人臂甲
918	    Guardian Gloves	ガーディアングローブ	守卫手套
919	    Vengeful Caligae	復讐鬼のカリガ	复仇鬼战靴
920	    Citadel Guard's Sabatons	城塞兵のサバント	要塞兵铠靴
921	    Druid's Robes	ドルイドロープ	德鲁伊长袍
922	    Sorcerer's Gauntlets	魔術師のガントレット	魔法师手铠
923	    Soothing Plume	癒しの羽飾り	治愈羽饰
924	    Phoenix's Plume	不死鳥の花飾り	不死鸟羽饰
926	    Detoxifying Amulet	解毒のアミレット	解毒护符
927	    Quenching Amulet	火消のアミレット	灭火护符
928	    Defrosting Amulet	氷解のアミレット	融冰护符
929	    Awakening Amulet	気付けのアミレット	觉察护符
930	    Clearsight Amulet	可視のアミレット	可视护符
931	    Parrying Amulet	封防のアミレット	封防护符
932	    Skillful Amulet	封技のアミレット	封技护符
933	    Holy Unicorn Signet	一角獣の聖印	独角兽圣印
934	    Salamander Ring	火竜の指輪	火龙戒指
935	    Glacial Ring	氷雪の指輪	冰雪戒指
936	    Thunderclap Ring	雷鳴の指輪	雷鸣戒指
937	    Cooling Bandana	ひんやりバンダナ	清凉头巾
938	    Barbed Ribbon	とげとげリボン	刺刺缎带
939	    Wooly Mittens	もこもこミトン	蓬蓬手套
940	    Fluffy Cape	ふんわりケープ	轻柔披肩
942	    Chloe's Charm	クロエのお守り	克洛伊的护身符
943	    Rookie Egg	ルーキーエッグ	新秀蛋
944	    Golden Egg	ゴールデンエッグ	黄金蛋
945	    Miser's Bracelet	守銭奴の腕輪	守财奴手环
946	    Silver Goblet	銀のゴブレット	银高脚杯
947	    Gold Goblet	金のゴブレット	金高脚杯
948	    Gauntlets Of The Abyss	深淵の篭手	深渊臂甲
949	    Crown Of The Abyss	深淵の王冠	深渊王冠
950	    Talisman Of The Abyss	深淵のタリスマン	深渊护符
951	    Celestial Talisman	星辰のタリスマン	星辰护符
952	    Magia Soul	マギアソウル	魔魂
953	    Magia Heart	マギアハーツ	魔心
954	    White Cat-Ear Hood	白ネコミミフード	白猫耳兜帽
955	    Black Cat-Ear Hood	黒ネコミミフード	黑猫耳兜帽
956	    Dream Crown	夢幻の王冠	梦幻王冠
957	    Ancient Crown	古代の王冠	古代王冠
959	    Ring Of The Unicorn	一角獣の指輪	独角兽之戒（觉醒前）
960	    Ring Of The Unicorn	一角獣の指輪	独角兽之戒（AP+1,全能力+5）
961	    Ring Of The Unicorn	一角獣の指輪	独角兽之戒（星辰一剑）
962	    Ring Of The Maiden	乙女の指輪	少女戒指（觉醒前）
963	    Ring Of The Maiden	乙女の指輪	少女戒指（PP+1,全能力+5）
964	    Ring Of The Maiden	乙女の指輪	少女戒指（天穹之光）
965	    Hp +50	HP＋50	HP＋50
966	    Hp +200	HP＋100	HP＋200
967	    Str +100	STR＋100	STR＋100
968	    Physical Attack +	物理攻撃力＋	物理攻击力＋
969	    Magical Attack +	魔法攻撃力＋	魔法攻击力＋
970	    Critical Damage +	会心ダメージ＋	暴击伤害＋
